NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Fannin County, Georgia",23742,37049,5404,13,111
"Henry County, Georgia",211512,60424,27162,13,151
"Houston County, Georgia",147570,53270,25111,13,153
"Laurens County, Georgia",47886,32356,12823,13,175
"Long County, Georgia",16588,48863,2936,13,183
"Spalding County, Georgia",63873,40246,14238,13,255
"Stephens County, Georgia",25620,40315,4707,13,257
"Telfair County, Georgia",16416,26449,3565,13,271
"Upson County, Georgia",26528,35774,6137,13,293
"Washington County, Georgia",20785,37932,4961,13,303
"Peach County, Georgia",27086,41588,5471,13,225
"Pierce County, Georgia",18934,40247,4455,13,229
"Pike County, Georgia",17812,51338,2132,13,231
"Screven County, Georgia",14206,34466,3482,13,251
"Tattnall County, Georgia",25302,33980,5646,13,267
"Walker County, Georgia",68285,41632,11818,13,295
"Gwinnett County, Georgia",859234,60289,117553,13,135
"Charlton County, Georgia",13130,42778,2010,13,049
"Bartow County, Georgia",101336,48893,15819,13,015
"Douglas County, Georgia",136520,53881,22118,13,097
"Jeff Davis County, Georgia",14990,36385,3309,13,161
"Hancock County, Georgia",8881,24925,2113,13,141
"Calhoun County, Georgia",6489,25513,1924,13,037
"Troup County, Georgia",68867,41489,14388,13,285
"Bibb County, Georgia",154816,36519,40611,13,021
"Marion County, Georgia",8739,36242,1836,13,197
"Schley County, Georgia",5074,39375,1187,13,249
"Bleckley County, Georgia",12746,38991,2616,13,023
"Evans County, Georgia",10814,37865,2857,13,109
"Franklin County, Georgia",22110,33816,5122,13,119
"Effingham County, Georgia",54630,63100,5749,13,103
"Lamar County, Georgia",18114,40344,3713,13,171
"Emanuel County, Georgia",22731,32229,6700,13,107
"Quitman County, Georgia",2326,31487,558,13,239
"Jasper County, Georgia",13593,42368,2785,13,159
"Lanier County, Georgia",10403,37605,2675,13,173
"Liberty County, Georgia",64427,42201,11047,13,179
"Mitchell County, Georgia",22982,31915,5905,13,205
"Seminole County, Georgia",8769,34905,1595,13,253
"Taylor County, Georgia",8401,28143,2351,13,269
"Thomas County, Georgia",44824,36641,10335,13,275
"Toombs County, Georgia",27210,33679,6674,13,279
"Montgomery County, Georgia",8968,34672,2076,13,209
"Oglethorpe County, Georgia",14688,44226,2316,13,221
"Rockdale County, Georgia",86901,50455,14155,13,247
"Wayne County, Georgia",30046,38955,5633,13,305
"Wheeler County, Georgia",7956,27620,1177,13,309
"Baldwin County, Georgia",45795,32460,13201,13,009
"Oxford County, Maine",57421,40630,9911,23,017
"Allegany County, Maryland",73549,40551,11927,24,001
"Anne Arundel County, Maryland",555280,89860,31573,24,003
"Calvert County, Maryland",90114,95828,5207,24,009
"Montgomery County, Maryland",1017859,99435,67820,24,031
"St. Mary's County, Maryland",109614,86987,8384,24,037
"Dorchester County, Maryland",32534,47093,5275,24,019
"Cecil County, Maryland",101960,66396,10179,24,015
"Barnstable County, Massachusetts",214766,63251,18392,25,001
"Berkshire County, Massachusetts",129288,49956,16038,25,003
"Plymouth County, Massachusetts",503681,75459,40309,25,023
"Norfolk County, Massachusetts",687721,88262,44199,25,021
"Nantucket County, Massachusetts",10556,84057,1205,25,019
"Monroe County, Michigan",150436,55653,16860,26,115
"Hillsdale County, Michigan",46178,41961,8982,26,059
"Oceana County, Michigan",26229,41617,5285,26,127
"Clare County, Michigan",30710,33015,7895,26,035
"Keweenaw County, Michigan",2198,37813,336,26,083
"Ottawa County, Michigan",273136,58989,27361,26,139
"Alpena County, Michigan",29068,38829,4898,26,007
"Midland County, Michigan",83624,54059,10955,26,111
"Ogemaw County, Michigan",21222,36063,4537,26,129
"Crawford County, Michigan",13895,41743,2073,26,039
"Gratiot County, Michigan",41878,41912,6792,26,057
"Lenawee County, Michigan",98902,48043,13427,26,091
"Mackinac County, Michigan",11044,38434,1730,26,097
"Houghton County, Michigan",36660,37776,7406,26,061
"Lake County, Michigan",11426,30439,3164,26,085
"Presque Isle County, Michigan",13037,41213,1761,26,141
"Kalamazoo County, Michigan",256752,47476,45473,26,077
"Newaygo County, Michigan",48029,43693,8605,26,123
"Twiggs County, Georgia",8509,30468,2324,13,289
"Polk County, Georgia",41215,37853,8767,13,233
"Calhoun County, Michigan",134790,42520,22931,26,025
"Kent County, Michigan",622590,53063,93489,26,081
"Saginaw County, Michigan",196479,43042,34825,26,145
"Bay County, Michigan",106698,45583,15804,26,017
"Delta County, Michigan",36712,42031,6227,26,041
"Koochiching County, Minnesota",13054,42919,1937,27,071
"Morrison County, Minnesota",32962,50049,3687,27,097
"Steele County, Minnesota",36523,57858,3721,27,147
"Aitkin County, Minnesota",15839,42252,1937,27,001
"Murray County, Minnesota",8529,51983,771,27,101
"Kandiyohi County, Minnesota",42444,52632,4877,27,067
"Rock County, Minnesota",9563,51496,1067,27,133
"Traverse County, Minnesota",3429,49186,341,27,155
"Hennepin County, Minnesota",1197776,65834,146382,27,053
"Chippewa County, Minnesota",12154,50858,1454,27,023
"Esmeralda County, Nevada",1141,39271,194,32,009
"Mineral County, Nevada",4566,38923,907,32,021
"Lincoln County, Nevada",5194,44866,631,32,017
"Washoe County, Nevada",435019,52870,65248,32,031
"Carson City, Nevada",54482,47668,8787,32,510
