NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Cumberland County, Kentucky",6807,32019,1682,21,057
"Lee County, Kentucky",7119,22698,2003,21,129
"Edmonson County, Kentucky",12105,41710,2296,21,061
"Bracken County, Kentucky",8425,36327,1544,21,023
"Nelson County, Kentucky",44564,49298,7072,21,179
"Marion County, Kentucky",19717,38826,3784,21,155
"Boone County, Kentucky",124617,66730,10156,21,015
"Knox County, Kentucky",31809,26599,10093,21,121
"Letcher County, Kentucky",23671,30333,6614,21,133
"Pike County, Kentucky",63434,33183,14256,21,195
"Gallatin County, Kentucky",8567,48370,1294,21,077
"Lee County, Florida",663675,48537,105166,12,071
"Marion County, Florida",336811,39459,60207,12,083
"Vernon Parish, Louisiana",52476,46312,7403,22,115
"Sabine Parish, Louisiana",24248,38828,4626,22,085
"Jefferson Davis Parish, Louisiana",31434,39063,6462,22,053
"West Feliciana Parish, Louisiana",15415,56685,1914,22,125
"Bienville Parish, Louisiana",13977,32876,3754,22,013
"Cameron Parish, Louisiana",6706,64231,650,22,023
"Plaquemines Parish, Louisiana",23599,50314,3775,22,075
"Washington Parish, Louisiana",46556,30705,11811,22,117
"Acadia Parish, Louisiana",62163,37649,12539,22,001
"St. Tammany Parish, Louisiana",242960,62137,27482,22,103
"Caddo Parish, Louisiana",254742,41234,53752,22,017
"Ascension Parish, Louisiana",114738,70551,13447,22,005
"Iberia Parish, Louisiana",73938,45261,14277,22,045
"St. Helena Parish, Louisiana",10818,35437,2854,22,091
"De Soto Parish, Louisiana",26965,41468,7059,22,031
"Livingston Parish, Louisiana",133949,58251,19086,22,063
"Franklin Parish, Louisiana",20550,30275,5847,22,041
"Jackson Parish, Louisiana",16109,38029,3981,22,049
"St. Charles Parish, Louisiana",52639,59990,6152,22,089
"Tensas Parish, Louisiana",4893,22940,1685,22,107
"Natchitoches Parish, Louisiana",39330,31345,11208,22,069
"Catahoula Parish, Louisiana",10247,34904,1890,22,025
"Grays Harbor County, Washington",71419,43538,12357,53,027
"Wahkiakum County, Washington",4035,44485,674,53,069
"Grant County, Washington",92070,48714,16295,53,025
"Snohomish County, Washington",746653,70722,74826,53,061
"Summers County, West Virginia",13544,36651,2184,54,089
"Greenbrier County, West Virginia",35666,39746,6530,54,025
"Mineral County, West Virginia",27755,31790,4562,54,057
"Lewis County, West Virginia",16434,37849,3357,54,041
"Pocahontas County, West Virginia",8697,36827,1382,54,075
"Randolph County, West Virginia",29365,39457,4610,54,083
"Wirt County, West Virginia",5841,39352,792,54,105
"Clay County, West Virginia",9141,31325,2530,54,015
"Monongalia County, West Virginia",101668,45467,20923,54,061
"Wetzel County, West Virginia",16157,39096,3169,54,103
"Kanawha County, West Virginia",190781,45882,29703,54,039
"Preston County, West Virginia",33809,45064,4574,54,077
"Ritchie County, West Virginia",10140,37636,2071,54,085
"Lincoln County, West Virginia",21560,35800,5870,54,043
"Braxton County, West Virginia",14466,32750,2941,54,007
"Boone County, West Virginia",24000,39958,5529,54,005
"Wyoming County, West Virginia",22866,33730,4934,54,109
"Dunn County, Wisconsin",44159,49788,6140,55,033
"Grant County, Wisconsin",51489,49067,7318,55,043
"Sheboygan County, Wisconsin",115226,53713,10348,55,117
"Menominee County, Wisconsin",4451,35343,1535,55,078
"Buffalo County, Wisconsin",13319,50196,1500,55,011
"La Crosse County, Wisconsin",117048,50539,16616,55,063
"Marathon County, Wisconsin",135177,54083,14095,55,073
"Trempealeau County, Wisconsin",29412,51077,3078,55,121
"Dodge County, Wisconsin",88547,53783,7658,55,027
"Vilas County, Wisconsin",21355,41061,3047,55,125
"Manitowoc County, Wisconsin",80521,48398,7957,55,071
"Burnett County, Wisconsin",15334,41135,2371,55,013
"Door County, Wisconsin",27731,51928,2766,55,029
"Fond du Lac County, Wisconsin",101920,55473,9071,55,039
"Pepin County, Wisconsin",7372,49516,947,55,091
"Richland County, Wisconsin",17746,44810,2609,55,103
"Waushara County, Wisconsin",24321,45166,2385,55,137
"Klickitat County, Washington",20820,48319,3150,53,039
"Lafayette County, Wisconsin",16835,51445,1800,55,065
"Pierce County, Wisconsin",40799,61611,4615,55,093
"Calumet County, Wisconsin",49678,67427,3434,55,015
"Kenosha County, Wisconsin",167738,54918,24823,55,059
"Johnson County, Wyoming",8600,54065,534,56,019
"Laramie County, Wyoming",95431,60706,9369,56,021
"Teton County, Wyoming",22311,75325,1638,56,039
"Nueces County, Texas",352060,50337,61965,48,355
"Rains County, Texas",11037,48448,1206,48,379
"Real County, Texas",3356,36523,541,48,385
"Sterling County, Texas",1346,53456,208,48,431
"Carson County, Texas",6068,66023,435,48,065
"Freestone County, Texas",19586,44301,2683,48,161
"Hardeman County, Texas",3992,37174,585,48,197
"Briscoe County, Texas",1670,38603,307,48,045
"Liberty County, Texas",77486,48729,12548,48,291
"Loving County, Texas",117,,33,48,301
"Robertson County, Texas",16532,46501,2841,48,395
"Rusk County, Texas",53457,46173,8510,48,401
"Clarendon County, South Carolina",34178,33162,8163,45,027
"Sumter County, South Carolina",107777,41332,18943,45,085
"Barnwell County, South Carolina",22098,34336,5819,45,011
"Darlington County, South Carolina",67922,35409,15878,45,031
"York County, South Carolina",240076,54117,31814,45,091
"Cherokee County, South Carolina",55863,35389,13093,45,021
"Jasper County, South Carolina",26549,37141,6106,45,053
"Lee County, South Carolina",18461,30954,4663,45,061
"Abbeville County, South Carolina",24997,34799,5471,45,001
"Lyman County, South Dakota",3837,43030,775,46,085
"Deuel County, South Dakota",4341,53152,330,46,039
"Brule County, South Dakota",5330,49531,789,46,015
"Gregory County, South Dakota",4226,37540,769,46,053
"Minnehaha County, South Dakota",178942,53525,20578,46,099
"Clark County, South Dakota",3625,49600,566,46,025
"Kingsbury County, South Dakota",5107,53828,505,46,077
"Clay County, South Dakota",14011,36608,3255,46,027
"Dewey County, South Dakota",5579,37206,1523,46,041
"Hughes County, South Dakota",17466,59177,1663,46,065
"Sanborn County, South Dakota",2339,50541,238,46,111
"Hand County, South Dakota",3375,47163,271,46,059
"Yankton County, South Dakota",22636,48176,2993,46,135
"Beadle County, South Dakota",18168,46267,3708,46,005
"Davison County, South Dakota",19787,49991,2379,46,035
"Jerauld County, South Dakota",2031,53125,176,46,073
"Stanley County, South Dakota",2962,56829,240,46,117
"Potter County, South Dakota",2307,46081,255,46,107
"Charles Mix County, South Dakota",9239,43109,1970,46,023
"Marshall County, South Dakota",4701,51788,701,46,091
"Perkins County, South Dakota",2981,39773,396,46,105
"Todd County, South Dakota",9942,31128,4471,46,121
"Oglala Lakota County, South Dakota",14153,26369,7482,46,102
"San Jacinto County, Texas",27023,43029,5419,48,407
"Upshur County, Texas",40096,46673,5322,48,459
"Waller County, Texas",45847,51348,7505,48,473
"Wilson County, Texas",45509,68100,4783,48,493
"Hockley County, Texas",23322,50665,3297,48,219
"Midland County, Texas",151290,68806,13238,48,329
"Llano County, Texas",19323,48259,2841,48,299
"Fannin County, Texas",33748,44071,5305,48,147
"Brazos County, Texas",205271,39808,53207,48,041
"Gaines County, Texas",18916,57635,2177,48,165
"Gray County, Texas",22983,43288,2824,48,179
"Jack County, Texas",8946,50324,1324,48,237
"Bosque County, Texas",17971,44674,2549,48,035
"Bexar County, Texas",1825502,51150,312088,48,029
"Baylor County, Texas",3628,36373,423,48,023
"Denton County, Texas",731851,75050,63220,48,121
"Galveston County, Texas",308163,62313,41985,48,167
"Roberts County, Texas",931,63889,14,48,393
"Uvalde County, Texas",26952,38568,5248,48,463
"Bowie County, Texas",93155,42670,16693,48,037
"Kent County, Texas",821,47024,74,48,263
"Somervell County, Texas",8608,51912,1158,48,425
"Hardin County, Texas",55375,52614,6684,48,199
"Leon County, Texas",16819,49802,2322,48,289
"Newton County, Texas",14231,38144,1798,48,351
"Reeves County, Texas",14179,43540,1895,48,389
"Travis County, Texas",1121645,61451,180220,48,453
"Collingsworth County, Texas",3058,39743,675,48,087
"Erath County, Texas",40039,41416,9340,48,143
"Motley County, Texas",1071,31683,181,48,345
"Coleman County, Texas",8536,35156,1924,48,083
"Medina County, Texas",47392,57338,6656,48,325
"Henderson County, Texas",79016,41607,14572,48,213
"Lamar County, Texas",49566,40748,9076,48,277
"Kimble County, Texas",4486,40125,912,48,267
"Washington County, Texas",34236,51269,4325,48,477
"Stephens County, Texas",9452,43951,1751,48,429
"Andrews County, Texas",16775,70423,2032,48,003
"Gonzales County, Texas",20172,42983,4009,48,177
"Lynn County, Texas",5764,39526,1106,48,305
"Zapata County, Texas",14308,32162,5334,48,505
"Hood County, Texas",53171,56100,6161,48,221
"King County, Texas",267,63250,19,48,269
"Cherokee County, Texas",51167,39595,10688,48,073
"Delta County, Texas",5223,42432,1177,48,119
"Jones County, Texas",19978,43897,2285,48,253
"Jim Wells County, Texas",41461,42986,9128,48,249
"Dallam County, Texas",7014,41345,1183,48,111
"Fort Bend County, Texas",658331,89152,53761,48,157
"Irion County, Texas",1644,58500,191,48,235
"Willacy County, Texas",22002,26495,7604,48,489
"Dawson County, Texas",13542,41095,1924,48,115
"Rockwall County, Texas",85536,87524,5310,48,397
"Taylor County, Texas",134435,45396,22395,48,441
"Throckmorton County, Texas",1545,41042,199,48,447
"Walker County, Texas",69330,37666,12642,48,471
"Wood County, Texas",42712,45686,6073,48,499
"Aransas County, Texas",24292,41690,4509,48,007
"Cochran County, Texas",2993,39113,591,48,079
"Coke County, Texas",3238,42467,361,48,081
"Coryell County, Texas",76128,49340,8631,48,099
"Hemphill County, Texas",4115,62813,502,48,211
"Moore County, Texas",22281,49802,4421,48,341
"Potter County, Texas",122352,38159,25466,48,375
"San Augustine County, Texas",8695,28275,2105,48,405
"Shackelford County, Texas",3352,48750,635,48,417
"Starr County, Texas",62648,26172,22663,48,427
"Upton County, Texas",3405,46131,657,48,461
"Brown County, Texas",37833,41962,6581,48,049
"Hall County, Texas",3203,30950,844,48,191
"Franklin County, Texas",10599,41537,1726,48,159
"Frio County, Texas",18168,36404,3321,48,163
"Lampasas County, Texas",20219,49630,2923,48,281
"Orleans County, Vermont",27146,42831,4070,50,019
"Grand Isle County, Vermont",6952,62608,598,50,013
"Chittenden County, Vermont",159711,65350,17045,50,007
"Lamoille County, Vermont",25027,50939,2887,50,015
"Franklin County, Vermont",48418,58199,4147,50,011
"Platte County, Wyoming",8750,38500,1391,56,031
"Sheridan County, Wyoming",29738,55455,2381,56,033
"Big Horn County, Wyoming",11895,51679,1408,56,003
"Crook County, Wyoming",7229,60445,362,56,011
"Park County, Wyoming",28985,56363,2024,56,029
"Matagorda County, Texas",36598,40797,7833,48,321
"Pecos County, Texas",15807,50305,1643,48,371
"Albany County, Wyoming",37565,42834,9510,56,001
"Carbon County, Wyoming",15739,56825,2280,56,007
"Goshen County, Wyoming",13544,42689,2261,56,015
"Uinta County, Wyoming",20930,56569,2845,56,041
"Washakie County, Wyoming",8400,47652,1137,56,043
"Hot Springs County, Wyoming",4809,45278,500,56,017
"Fremont County, Wyoming",40755,52773,5637,56,013
"Sublette County, Wyoming",10117,81772,812,56,035
"Weston County, Wyoming",7152,57738,958,56,045
"Carroll County, Mississippi",10338,37289,2086,28,015
"George County, Mississippi",23104,44258,4154,28,039
"Grenada County, Mississippi",21591,31779,4733,28,043
"Jefferson County, Mississippi",7586,20743,3490,28,063
"Newton County, Mississippi",21663,37045,4737,28,101
"Prentiss County, Mississippi",25380,32945,5112,28,117
"Sharkey County, Mississippi",4805,30525,1380,28,125
"Choctaw County, Mississippi",8354,30692,2147,28,019
"Hancock County, Mississippi",45627,43355,9807,28,045
"Itawamba County, Mississippi",23451,35004,4207,28,057
"Issaquena County, Mississippi",1291,23491,411,28,055
"Jackson County, Mississippi",140676,48406,21400,28,059
"Leflore County, Mississippi",31516,24233,12558,28,083
"Tunica County, Mississippi",10477,31211,2824,28,143
"Claiborne County, Mississippi",9330,23259,3685,28,021
"Harrison County, Mississippi",196268,41722,39569,28,047
"Lauderdale County, Mississippi",79832,38132,17325,28,075
"Lincoln County, Mississippi",34765,36473,9091,28,085
"Simpson County, Mississippi",27401,35375,6985,28,127
"Winston County, Mississippi",18697,33202,5389,28,159
"Attala County, Mississippi",19175,32886,4908,28,007
"Lamar County, Mississippi",58885,52035,9748,28,073
"Lee County, Mississippi",85036,42784,15327,28,081
"Tallahatchie County, Mississippi",14959,29731,2609,28,135
"Smith County, Mississippi",16257,32951,3813,28,129
"Warren County, Mississippi",48020,41121,10768,28,149
"Clarke County, Mississippi",16362,35993,3460,28,023
"Montgomery County, Mississippi",10464,30146,3058,28,097
"Oktibbeha County, Mississippi",49048,32485,14780,28,105
"Chickasaw County, Mississippi",17391,30926,4493,28,017
"Webster County, Mississippi",9999,34448,2243,28,155
"Alcorn County, Mississippi",37319,36163,7752,28,003
"Clay County, Mississippi",20279,31669,5302,28,025
"Covington County, Mississippi",19471,31631,5162,28,031
"Humphreys County, Mississippi",8984,23216,3508,28,053
"Dauphin County, Pennsylvania",271094,53754,36269,42,043
"Lincoln County, New Mexico",19931,40708,3271,35,027
"Chaves County, New Mexico",65811,40630,14013,35,005
"Lea County, New Mexico",68149,57533,9859,35,025
"Santa Fe County, New Mexico",147108,54315,22477,35,049
"Union County, New Mexico",4339,36070,498,35,059
"Sierra County, New Mexico",11615,29356,2360,35,051
"Socorro County, New Mexico",17494,34037,4278,35,053
"Roosevelt County, New Mexico",19908,35546,4918,35,041
"Doña Ana County, New Mexico",213963,38853,58846,35,013
"Los Alamos County, New Mexico",17939,101934,1092,35,028
"Rio Arriba County, New Mexico",39949,36098,9413,35,039
"San Miguel County, New Mexico",28668,29237,8093,35,047
"Valencia County, New Mexico",76297,41703,17604,35,061
"Torrance County, New Mexico",15853,32083,4833,35,057
"Bernalillo County, New Mexico",673943,47725,128917,35,001
"Otero County, New Mexico",65318,39775,14387,35,035
"Cibola County, New Mexico",27382,34565,7489,35,006
"De Baca County, New Mexico",2020,32500,454,35,011
"Guadalupe County, New Mexico",4526,30772,552,35,019
"Catron County, New Mexico",3583,42973,615,35,003
"Bronx County, New York",1428357,34299,427574,36,005
"Onondaga County, New York",468304,55092,69487,36,067
"Aibonito Municipio, Puerto Rico",24829,17307,11713,72,009
"Guayanilla Municipio, Puerto Rico",20442,15067,11402,72,059
"Lajas Municipio, Puerto Rico",24722,13215,14632,72,079
"Sabana Grande Municipio, Puerto Rico",24307,14795,11404,72,121
"Camuy Municipio, Puerto Rico",33949,17532,16498,72,027
"Guánica Municipio, Puerto Rico",18207,13682,11089,72,055
"Manatí Municipio, Puerto Rico",42167,18162,19265,72,091
"Naguabo Municipio, Puerto Rico",26804,18704,14051,72,103
"San Germán Municipio, Puerto Rico",34125,14797,17074,72,125
"Utuado Municipio, Puerto Rico",31474,15725,16445,72,141
"Arroyo Municipio, Puerto Rico",19018,15298,10020,72,015
"Cataño Municipio, Puerto Rico",26680,18326,13049,72,033
"Quebradillas Municipio, Puerto Rico",25205,15806,13928,72,115
"Guayama Municipio, Puerto Rico",43700,15860,22083,72,057
"Culebra Municipio, Puerto Rico",1557,18649,708,72,049
"Gurabo Municipio, Puerto Rico",46765,29317,15848,72,063
"Barceloneta Municipio, Puerto Rico",24775,15212,13828,72,017
"Loíza Municipio, Puerto Rico",28454,18718,13543,72,087
"Guaynabo Municipio, Puerto Rico",93899,34719,25163,72,061
"Aguadilla Municipio, Puerto Rico",57973,17267,27742,72,005
"Fajardo Municipio, Puerto Rico",34720,19320,15660,72,053
"Patillas Municipio, Puerto Rico",18441,13284,10900,72,109
"Rincón Municipio, Puerto Rico",14841,16755,7228,72,117
"Aguas Buenas Municipio, Puerto Rico",27693,14824,14789,72,007
"Bayamón Municipio, Puerto Rico",197287,24430,68252,72,021
"Carolina Municipio, Puerto Rico",168114,27969,50985,72,031
"Cayey Municipio, Puerto Rico",46647,20751,19324,72,035
"Hatillo Municipio, Puerto Rico",41578,18687,18552,72,065
"Humacao Municipio, Puerto Rico",56384,19342,25043,72,069
"Juana Díaz Municipio, Puerto Rico",49259,18609,24979,72,075
"Morovis Municipio, Puerto Rico",32294,16536,17745,72,101
"Mayagüez Municipio, Puerto Rico",83418,14871,42055,72,097
"Santa Isabel Municipio, Puerto Rico",22913,15674,11470,72,133
"Trujillo Alto Municipio, Puerto Rico",71886,30140,21253,72,139
"Corozal Municipio, Puerto Rico",35975,15098,20237,72,047
"Maunabo Municipio, Puerto Rico",11701,19541,6533,72,095
"Peñuelas Municipio, Puerto Rico",22770,15497,13620,72,111
"Ponce Municipio, Puerto Rico",156054,16318,79360,72,113
"San Sebastián Municipio, Puerto Rico",40471,14345,22775,72,131
"Toa Alta Municipio, Puerto Rico",74603,29976,23357,72,135
"Toa Baja Municipio, Puerto Rico",85242,23303,32692,72,137
"Vieques Municipio, Puerto Rico",9130,18104,3569,72,147
"Yabucoa Municipio, Puerto Rico",36279,15627,18899,72,151
"Caguas Municipio, Puerto Rico",138262,23769,52367,72,025
"Canóvanas Municipio, Puerto Rico",47432,20023,20667,72,029
"Coamo Municipio, Puerto Rico",40293,18233,19842,72,043
"Dorado Municipio, Puerto Rico",38166,26947,13540,72,051
"Barranquitas Municipio, Puerto Rico",29805,14331,18032,72,019
"San Lorenzo Municipio, Puerto Rico",39778,16538,19157,72,129
"Añasco Municipio, Puerto Rico",28579,17386,13997,72,011
"Seneca County, New York",35144,49292,4081,36,099
"Putnam County, New York",99488,96148,5212,36,079
"Herkimer County, New York",64034,46229,9145,36,043
"Ontario County, New York",109192,57416,10975,36,069
"Steuben County, New York",98665,47280,15888,36,101
"Hamilton County, New York",4760,48243,609,36,041
"Chautauqua County, New York",132646,42993,23894,36,013
"Kings County, New York",2595259,48201,597404,36,047
"Tioga County, New York",50199,57514,4801,36,107
"Orleans County, New York",42204,46359,6173,36,073
"Saratoga County, New York",223774,71496,14583,36,091
"Columbia County, New York",62195,59105,7067,36,021
"Lewis County, New York",27124,49819,3238,36,049
"Westchester County, New York",967315,83958,90752,36,119
"Delaware County, New York",46901,43720,6799,36,025
"Montgomery County, New York",49779,43764,10053,36,057
"Richmond County, New York",472481,73197,58470,36,085
"St. Lawrence County, New York",112011,44705,19494,36,089
"Tompkins County, New York",103855,52624,18547,36,109
"Warren County, New York",65180,56798,7685,36,113
"Cortland County, New York",49043,49514,6675,36,023
"Dutchess County, New York",296928,71904,26229,36,027
"Monroe County, New York",749356,52553,110192,36,055
"Oneida County, New York",233558,48246,37760,36,065
"Ulster County, New York",181300,58918,22290,36,111
"Chemung County, New York",88267,50320,13044,36,015
"Livingston County, New York",64801,51734,8681,36,051
"Otsego County, New York",61399,48588,9275,36,077
"Clinton County, New York",81685,49930,12163,36,019
"Greene County, New York",48312,50278,5813,36,039
"Albany County, New York",307463,59887,39349,36,001
"Allegany County, New York",48070,42776,7285,36,003
"Cattaraugus County, New York",78962,42601,13954,36,009
"Madison County, New York",72427,54145,8180,36,053
"Schenectady County, New York",154796,58114,19028,36,093
"Genesee County, New York",59458,50880,7748,36,037
"Yates County, New York",25187,49510,3446,36,123
"Greene County, North Carolina",21328,35777,4962,37,079
"Mitchell County, North Carolina",15330,37391,2910,37,121
"Chowan County, North Carolina",14656,38759,3832,37,041
"Alleghany County, North Carolina",10911,36968,1986,37,005
"Caldwell County, North Carolina",81758,35763,15765,37,027
"Catawba County, North Carolina",154610,44376,23629,37,035
"Cleveland County, North Carolina",97178,39453,19156,37,045
"Craven County, North Carolina",104450,47985,15664,37,049
"Edgecombe County, North Carolina",55280,32659,14210,37,065
"Granville County, North Carolina",58109,50225,8943,37,077
"Harnett County, North Carolina",124320,46353,22094,37,085
"Hoke County, North Carolina",51075,41542,11047,37,093
"Henderson County, North Carolina",109719,46448,14984,37,089
"Hyde County, North Carolina",5693,42897,890,37,095
"Iredell County, North Carolina",165066,52306,22803,37,097
"Mecklenburg County, North Carolina",990288,56854,148326,37,119
"Northampton County, North Carolina",21011,30429,5658,37,131
"Pitt County, North Carolina",173798,41119,42743,37,147
"Rowan County, North Carolina",138361,43069,24194,37,159
"Vance County, North Carolina",44829,33316,11064,37,181
"Cherokee County, North Carolina",27092,34662,5319,37,039
"Jayuya Municipio, Puerto Rico",15890,16033,9083,72,073
"Lares Municipio, Puerto Rico",28727,11905,16529,72,081
"Río Grande Municipio, Puerto Rico",53029,22246,20341,72,119
"San Juan Municipio, Puerto Rico",371400,21243,155011,72,127
"Vega Baja Municipio, Puerto Rico",56858,16948,27360,72,145
"Maricao Municipio, Puerto Rico",6315,12606,4054,72,093
"Ciales Municipio, Puerto Rico",17928,12630,10642,72,039
"Comerío Municipio, Puerto Rico",20339,13124,12145,72,045
"Union County, North Carolina",213422,65903,21416,37,179
"Wilkes County, North Carolina",68946,33232,15791,37,193
"Nash County, North Carolina",94722,42713,17141,37,127
"Alexander County, North Carolina",37158,39365,6191,37,003
"Dare County, North Carolina",34863,54496,2885,37,055
"Warren County, North Carolina",20468,34254,4692,37,185
"Wilson County, North Carolina",81581,39847,18475,37,195
"Gates County, North Carolina",11724,49258,1651,37,073
"Graham County, North Carolina",8700,34805,1884,37,075
"Madison County, North Carolina",21027,37904,3616,37,115
"Pamlico County, North Carolina",12982,43444,1674,37,137
"Polk County, North Carolina",20327,46528,2790,37,149
"Randolph County, North Carolina",142370,41947,24770,37,151
"Stokes County, North Carolina",46661,40696,7826,37,169
"Washington County, North Carolina",12668,34538,2737,37,187
"Clay County, North Carolina",10656,37076,2235,37,043
"Cumberland County, North Carolina",324603,44171,54949,37,051
"Guilford County, North Carolina",506763,45651,86808,37,081
"Jackson County, North Carolina",40812,38015,8139,37,099
"Pasquotank County, North Carolina",40018,45378,7256,37,139
"Robeson County, North Carolina",134871,30608,41538,37,155
"Swain County, North Carolina",14163,33931,3409,37,173
"Wake County, North Carolina",976019,67309,107687,37,183
"Anson County, North Carolina",26135,33228,5865,37,007
"McDowell County, North Carolina",44961,35965,8897,37,111
"Franklin County, North Carolina",62296,42685,9603,37,069
"Jones County, North Carolina",10166,34005,2173,37,103
"Macon County, North Carolina",33919,39133,6401,37,113
"Currituck County, North Carolina",24492,60600,2497,37,053
"Brunswick County, North Carolina",115926,46859,18725,37,019
"Transylvania County, North Carolina",32928,45114,4017,37,175
"Beaufort County, North Carolina",47561,40391,8660,37,013
"Columbus County, North Carolina",57230,34949,12768,37,047
"Lincoln County, North Carolina",79578,49215,12243,37,109
"Montgomery County, North Carolina",27601,32500,6716,37,123
"Orange County, North Carolina",138644,59290,20236,37,135
"Richmond County, North Carolina",46046,32687,11465,37,153
"Sampson County, North Carolina",63873,35490,16050,37,163
"Surry County, North Carolina",73170,36164,14195,37,171
"Avery County, North Carolina",17695,37777,2350,37,011
"Buncombe County, North Carolina",247336,45167,38256,37,021
"Cabarrus County, North Carolina",188375,54720,23384,37,025
"Caswell County, North Carolina",23174,37869,4634,37,033
"Davie County, North Carolina",41447,51527,5210,37,059
"Davidson County, North Carolina",163867,43363,25655,37,057
"Duplin County, North Carolina",59453,35035,15606,37,061
"Durham County, North Carolina",288817,52503,49835,37,063
"Hertford County, North Carolina",24368,33008,5475,37,091
"Lee County, North Carolina",59418,45608,10533,37,105
"New Hanover County, North Carolina",213091,50088,36717,37,129
"Pender County, North Carolina",55166,44828,9925,37,141
"Wayne County, North Carolina",124355,40390,27037,37,191
"Scotland County, North Carolina",35932,30958,10504,37,165
"Watauga County, North Carolina",52240,37656,14726,37,189
"Halifax County, North Carolina",53407,32245,13660,37,083
"Alamance County, North Carolina",155258,41814,29042,37,001
"Stark County, North Dakota",28628,72099,1866,38,089
"Wells County, North Dakota",4204,48098,226,38,103
"Burke County, North Dakota",2208,60096,301,38,013
"Mountrail County, North Dakota",9253,68188,1226,38,061
"Williams County, North Dakota",29619,88013,2913,38,105
"Billings County, North Dakota",969,70469,100,38,007
"Kidder County, North Dakota",2430,54559,185,38,043
"Cavalier County, North Dakota",3890,66806,180,38,019
"Grant County, North Dakota",2362,44559,346,38,037
"McHenry County, North Dakota",5817,57386,738,38,049
"Steele County, North Dakota",1979,55833,143,38,091
"Benson County, North Dakota",6794,41296,2260,38,005
"LaMoure County, North Dakota",4113,54821,383,38,045
"Morton County, North Dakota",28985,62418,2270,38,059
"Dunn County, North Dakota",4195,69732,517,38,025
"McIntosh County, North Dakota",2759,42277,311,38,051
"Nelson County, North Dakota",3048,51085,249,38,063
"Rolette County, North Dakota",14498,33277,5054,38,079
"Walsh County, North Dakota",11005,49411,1112,38,099
"Bottineau County, North Dakota",6634,56349,540,38,009
"Barnes County, North Dakota",11097,53141,841,38,003
"Grand Forks County, North Dakota",68979,48676,11223,38,035
"McKenzie County, North Dakota",9615,72794,1309,38,053
"McLean County, North Dakota",9451,55686,1072,38,055
"Pierce County, North Dakota",4395,42563,693,38,069
"Renville County, North Dakota",2562,65125,186,38,075
"Bowman County, North Dakota",3221,66845,234,38,011
"Burleigh County, North Dakota",88223,65254,6946,38,015
"Tyrrell County, North Carolina",4152,32361,779,37,177
"Logan County, North Dakota",1945,51458,151,38,047
"Oliver County, North Dakota",1819,60278,137,38,065
"Stutsman County, North Dakota",21076,52359,2130,38,093
"Ramsey County, North Dakota",11566,50841,1118,38,071
"Foster County, North Dakota",3366,55769,316,38,031
"Griggs County, North Dakota",2329,48355,179,38,039
"Sheridan County, North Dakota",1337,48102,209,38,083
"Slope County, North Dakota",673,55000,68,38,087
"Union County, Ohio",53470,67382,4344,39,159
"Pike County, Ohio",28396,40283,6436,39,131
"Paulding County, Ohio",19165,45550,2436,39,125
"Hamilton County, Ohio",804194,49013,143778,39,061
"Franklin County, Ohio",1215761,52341,208422,39,049
"Marion County, Ohio",65943,42966,11127,39,101
"Tuscarawas County, Ohio",92697,45310,12763,39,157
"Wayne County, Ohio",115371,50383,14758,39,169
"Brown County, Ohio",44247,45568,6442,39,015
"Butler County, Ohio",372538,57540,50312,39,017
"Coffee County, Tennessee",53448,41590,9818,47,031
"Fayette County, Tennessee",38814,54890,5351,47,047
"Hancock County, Tennessee",6642,26898,1793,47,067
"Hawkins County, Tennessee",56595,36927,10661,47,073
"Johnson County, Tennessee",18017,30763,4123,47,091
"Lincoln County, Tennessee",33550,40389,5517,47,103
"Macon County, Tennessee",22761,33509,4218,47,111
"Moore County, Tennessee",6351,49427,668,47,127
"Robertson County, Tennessee",67426,53151,8005,47,147
"Franklin County, Tennessee",41138,42773,6669,47,051
"Blount County, Tennessee",125188,48286,17305,47,009
"Grainger County, Tennessee",22736,35391,4647,47,057
"Giles County, Tennessee",28949,41093,4627,47,055
"Lauderdale County, Tennessee",27427,30281,6532,47,097
"Lawrence County, Tennessee",42226,37814,8443,47,099
"Madison County, Tennessee",98184,42544,18521,47,113
"Marion County, Tennessee",28306,41348,5350,47,115
"Overton County, Tennessee",22100,35287,4668,47,133
"Pickett County, Tennessee",5097,36773,808,47,137
"Wayne County, Tennessee",16897,30701,3211,47,181
"Williamson County, Tennessee",199456,96565,10054,47,187
"Bedford County, Tennessee",45986,41984,7727,47,003
"Greene County, Tennessee",68576,35196,13647,47,059
"Cumberland County, Tennessee",57455,38576,9300,47,035
"Van Buren County, Tennessee",5596,40439,988,47,175
"Claiborne County, Tennessee",31748,34899,6658,47,025
"Hickman County, Tennessee",24283,36334,4738,47,081
"Humphreys County, Tennessee",18240,41949,2856,47,085
"Putnam County, Tennessee",73810,35343,17830,47,141
"Sevier County, Tennessee",93617,42258,14128,47,155
"Stewart County, Tennessee",13286,42023,2560,47,161
"Chester County, Tennessee",17324,40167,3516,47,023
"Decatur County, Tennessee",11686,37263,2470,47,039
"Jackson County, Tennessee",11496,31534,3034,47,087
"McNairy County, Tennessee",26103,32557,5319,47,109
"Roane County, Tennessee",53162,40854,9620,47,145
"Bradley County, Tennessee",102062,42114,19357,47,011
"Hamblen County, Tennessee",62999,37617,13193,47,063
"Union County, Tennessee",19096,37351,4036,47,173
