YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENES_TOTAL_CNT,ER_VISITS_PER_1000_BENES,County,Population,Median_Income,People_In_Poverty
2015,County,TX-Dallam,48111,978.0,787.1148,"Dallam County, Texas",7014,41345.0,1183
2015,County,TX-Dallas,48113,307562.0,692.1453,"Dallas County, Texas",2485003,50270.0,472926
2015,County,TX-Dawson,48115,2379.0,959.7315,"Dawson County, Texas",13542,41095.0,1924
2015,County,TX-DeWitt,48123,4467.0,750.9005,"DeWitt County, Texas",20540,49736.0,2817
2015,County,TX-Deaf Smith,48117,2809.0,674.4951,"Deaf Smith County, Texas",19245,43373.0,3955
2015,County,TX-Delta,48119,1348.0,699.6161,"Delta County, Texas",5223,42432.0,1177
2015,County,TX-Denton,48121,80532.0,620.7699,"Denton County, Texas",731851,75050.0,63220
2015,County,TX-Dickens,48125,524.0,628.866,"Dickens County, Texas",2281,39700.0,417
2015,County,TX-Dimmit,48127,1902.0,1028.157,"Dimmit County, Texas",10682,36825.0,2003
2015,County,TX-Donley,48129,869.0,355.4217,"Donley County, Texas",3588,36681.0,585
2015,County,TX-Duval,48131,2403.0,814.1892,"Duval County, Texas",11577,33939.0,2617
2015,County,TX-Eastland,48133,4571.0,713.9843,"Eastland County, Texas",18328,34888.0,3162
2015,County,TX-Ector,48135,18940.0,799.8635,"Ector County, Texas",149557,57150.0,19162
2015,County,TX-Edwards,48137,528.0,506.2035,"Edwards County, Texas",1906,41813.0,205
2015,County,TX-El Paso,48141,120732.0,575.0502,"El Paso County, Texas",831095,41637.0,185728
2015,County,TX-Ellis,48139,24427.0,759.4534,"Ellis County, Texas",157058,62465.0,18755
2015,County,TX-Erath,48143,6257.0,615.7965,"Erath County, Texas",40039,41416.0,9340
2015,County,TX-Falls,48145,3402.0,884.5401,"Falls County, Texas",17410,36079.0,3417
2015,County,TX-Fannin,48147,7551.0,786.4986,"Fannin County, Texas",33748,44071.0,5305
2015,County,TX-Fayette,48149,6502.0,635.3406,"Fayette County, Texas",24849,47808.0,3021
2015,County,TX-Fisher,48151,957.0,843.9716,"Fisher County, Texas",3858,41406.0,666
2015,County,TX-Floyd,48153,1257.0,682.3936,"Floyd County, Texas",6178,41026.0,1375
2015,County,TX-Foard,48155,352.0,525.7732,"Foard County, Texas",1197,36477.0,114
2015,County,TX-Fort Bend,48157,75093.0,594.6706,"Fort Bend County, Texas",658331,89152.0,53761
2015,County,TX-Franklin,48159,2481.0,667.9601,"Franklin County, Texas",10599,41537.0,1726
